# TransStr, en
"BASE__2_DESC", " In a base you can build all available Buildings. It can have up to [i]7 subterran layers[/i] and a surface layer.\nIf you build a new base it will always consist of the surface layer and 1 subsurface layer.\n[b]Protect your bases at all costs, you will loose the game if your last base is destroyed![/b]\nFor each level you dig down, the structures build there will take less damage from attacking UFOs.\nBuildings on the surface (including the elevator) take full damage and for each layer the damage is reduced by 50%. "
"BASE__2_NAME", " Base"
"BASE__5_DESC", " The outpost is a small and cheap version of the base, that is primary used for radarposts.\nOutposts don't have subsurface layers, and therefor are [b]limited to buildings that can be build on the surface[/b] (you cannot build hangars). "
"BASE__5_NAME", " Outpost"
"BASE__7_DESC", "untranslated"
"BASE__7_NAME", "untranslated"
"CARRY__10_DESC", ""CARRY" is the base class for objects you can carry in a ground combat."
"CARRY__10_NAME", "deer cadaver"
"OBJECT_DETAIL_BUILDCOST", " Build cost"
"OBJECT_DETAIL_BUY", " purchase price"
"OBJECT_DETAIL_DISASSENBLE", " disassembel into"
"OBJECT_DETAIL_MAXLEVELS", " max levels"
"OBJECT_DETAIL_PACKET_SIZE", "untranslated"
"OBJECT_DETAIL_SELL", " selling price"
"OBJECT_DETAIL_SIZE", " size"
"OBJECT_DETAIL_STORAGE", " stornage space"
"OBJECT_DETAIL_WEIGH", " weigh"
"STORE__8_DESC", ""STORE" is the base class for objects you can store in a base."
"STORE__8_NAME", "Leather"
"STORE__9_DESC", ""STORE" is the base class for objects you can store in a base."
"STORE__9_NAME", "Food"
"STORY_DIARY_1_DESC", " Diary entry for day 2..."
"STORY_DIARY_1_NAME", " Day 2"
"STORY_DIARY_3_DESC", " Day 5"
"STORY_DIARY_3_NAME", " Diary entry for day 5..."
"STORY__6_DESC", "untranslated"
"STORY__6_NAME", "untranslated"
"STORY_foo_4_DESC", "untranslated"
"STORY_foo_4_NAME", "untranslated"
"TYPE_BASE", " Base"
"TYPE_STORE", " Raw Materials"
"TYPE_OBJECT", " untranslated"
"TYPE_CARRY", " Materials"
"TYPE_STORY", " Storry / Mission"
"CAT_", " (none)"
"CAT_DIARY", " My Diary"
"CAT_foo", "untranslated"
